AGREE_DATE,NetCPL_CBOB,NetCPL_Reg_CONV,NetCPL_JET_REGRADE,NetCPL_PBOB_TO_RBOB,NetCPL_PCBOB_TO_CBOB,NetCPL_PREM_CONV,NetCPL_RBOB,NetCPL_ULSD
5/24/2012,0,50000,0,0,0,0,0,0
12/18/2017,-100082,0,0,0,0,0,0,0
12/21/2017,0,0,0,0,850658,0,0,0
12/26/2017,-150106,100008,0,0,0,0,-50058,0
12/27/2017,-50004,50014,0,50000,50042,0,0,0
12/28/2017,-150120,100038,0,50060,0,150094,0,0
12/29/2017,-150046,0,0,0,0,0,-50060,0
1/2/2018,-149774,0,0,0,0,0,0,0
1/3/2018,0,200068,0,50036,0,50042,-50036,0
1/4/2018,0,250268,0,100060,150020,0,0,0
1/5/2018,-400462,0,0,0,50024,50028,-50054,0
1/8/2018,-200118,0,0,150102,50052,50084,0,0
1/9/2018,-100078,99972,0,100022,50080,250142,0,0
1/11/2018,28,0,0,0,100094,100054,50032,0
1/12/2018,-50040,100142,0,30018,0,50192,0,0
1/16/2018,50316,50050,0,150118,100078,200048,50090,0
1/17/2018,-50020,50084,0,0,50050,50084,-50044,0
1/18/2018,-50030,150152,0,0,50060,50010,0,0
1/19/2018,-100002,350276,0,210094,50040,100064,0,0
1/22/2018,-100186,-49986,0,0,0,0,0,0
1/23/2018,-300032,100016,0,130108,0,150854,0,0
1/24/2018,-150022,200042,0,0,0,100004,0,0
1/25/2018,126,0,0,0,99998,100068,0,0
1/26/2018,0,49950,0,50040,100034,0,0,0
1/29/2018,-50008,100116,0,100016,50012,50058,0,0
1/30/2018,-50008,650602,0,50038,150068,0,0,0
1/31/2018,0,0,0,100058,0,200238,100096,0
2/1/2018,0,150092,0,0,150062,100042,0,0
2/2/2018,0,0,0,0,300282,0,0,0
2/5/2018,-100006,200098,0,80080,150002,0,38,0
2/6/2018,-50010,300168,0,0,100052,50018,-50052,0
2/7/2018,0,249986,0,0,50006,200046,0,0
2/8/2018,9876,0,0,0,0,0,0,0
2/9/2018,-100062,0,0,30068,100008,100020,99998,0
2/12/2018,0,190334,0,150102,150062,100008,0,0
2/13/2018,0,400392,0,0,90024,0,0,0
2/14/2018,50138,50060,0,0,0,150122,0,0
2/15/2018,74,100988,0,30054,0,0,0,0
2/16/2018,0,350158,0,0,0,0,0,0
2/20/2018,0,101018,0,100130,0,100048,0,0
2/21/2018,6,0,0,0,0,0,0,0
2/22/2018,50000,200106,0,0,0,0,-100086,0
2/23/2018,0,100096,0,80082,0,0,0,0
2/26/2018,50084,150200,0,148050,0,0,-150104,0
2/27/2018,-42,100044,0,0,0,0,0,0
2/28/2018,-57136,350136,0,50030,100722,50088,-150150,0
3/1/2018,0,250252,0,80028,150132,200068,0,0
3/2/2018,0,0,0,0,0,50066,0,0
3/5/2018,-50044,400080,0,100064,50024,50052,-100082,0
3/6/2018,0,200046,0,0,50068,100010,0,0
3/7/2018,0,150006,0,122046,0,100036,0,0
3/8/2018,0,200118,0,130028,270212,0,0,0
3/12/2018,50038,150116,0,0,0,300178,100282,0
3/13/2018,40,0,0,110096,100040,0,-100044,0
3/14/2018,50136,300256,0,128104,0,0,50006,0
3/15/2018,100158,250224,0,0,0,71986,0,0
3/19/2018,49962,300130,0,110088,0,99972,0,0
3/20/2018,0,100044,0,50030,850512,500514,50034,0
3/21/2018,-150120,49974,0,50032,0,0,0,0
3/23/2018,0,0,0,100028,-120074,0,100032,0
3/26/2018,0,350410,0,50048,150042,50068,100082,0
3/27/2018,0,200240,0,50030,0,0,0,0
3/28/2018,94,0,0,0,50054,0,0,0
3/29/2018,-350048,350162,0,50018,150012,50068,150086,0
4/2/2018,0,100106,0,70042,50012,0,0,0
4/3/2018,0,0,0,0,100016,0,0,0
4/5/2018,-280326,50838,0,110078,150160,0,150092,0
4/6/2018,0,0,0,50024,0,0,0,0
4/9/2018,51314,0,0,0,50056,0,0,0
4/10/2018,170786,147480,0,80052,325290,120080,100028,0
4/11/2018,-200136,50092,0,150050,0,0,50022,0
4/12/2018,-100004,50166,0,0,0,0,0,0
4/16/2018,-30030,-50118,0,100054,100096,0,250536,0
4/17/2018,0,0,0,60038,50032,0,0,0
4/18/2018,0,0,0,100046,100094,0,0,0
4/19/2018,0,430,0,0,0,0,0,0
4/20/2018,-30016,-298270,0,0,0,0,0,0
4/23/2018,-400120,0,0,160082,0,0,49990,0
4/24/2018,49998,0,0,50012,0,0,0,0
4/26/2018,-880222,0,0,110054,100082,0,50014,0
4/27/2018,0,0,0,100084,50016,0,0,0
4/30/2018,0,0,0,50000,100032,50014,0,0
5/1/2018,-500436,-50100,0,0,150134,0,-50016,0
5/2/2018,0,0,0,100024,0,0,-252338,0
5/3/2018,0,0,0,0,160058,0,0,0
5/4/2018,0,0,0,0,0,0,-50074,0
5/7/2018,-300042,0,0,110080,100104,0,0,0
5/8/2018,-56,0,0,50022,160018,0,-8,0
5/9/2018,0,0,0,150124,0,50054,-50018,0
5/10/2018,0,0,0,0,56036,0,0,0
5/11/2018,-450078,0,0,50032,0,0,0,0
5/14/2018,-30042,0,0,100048,0,0,50000,0
5/15/2018,0,50038,0,0,80022,0,100040,0
5/16/2018,-490200,0,0,80058,0,0,54986,0
5/17/2018,-50014,50004,0,150048,140114,0,30032,0
5/18/2018,0,0,0,30000,0,0,0,0
5/21/2018,-280020,0,0,130068,0,50016,30028,0
5/22/2018,0,0,0,50034,0,100130,30036,0
5/23/2018,0,0,0,30030,30020,10000,0,0
5/24/2018,-240034,0,0,30026,50004,0,40030,0
5/25/2018,0,0,0,150044,50008,0,0,0
5/29/2018,0,100134,0,80056,160134,0,50034,0
6/1/2018,-390050,0,0,50034,100050,50070,100034,0
6/4/2018,0,0,0,80088,0,0,100026,0
6/5/2018,-49934,0,0,0,0,0,0,0
6/7/2018,-379984,0,0,160100,50014,0,160032,0
6/8/2018,0,0,0,0,0,0,49992,0
6/11/2018,0,0,0,100048,220100,0,0,0
6/12/2018,-680194,50578,0,50000,100078,0,60022,0
6/13/2018,-50182,0,0,129052,150166,0,100030,0
6/14/2018,-50052,0,0,80056,0,0,50020,0
6/18/2018,-240086,-100112,0,30032,0,327032,150054,0
6/19/2018,0,0,0,150102,150102,50072,0,0
6/20/2018,200052,0,0,0,0,0,50032,0
6/21/2018,-380102,-49992,0,50010,220058,50062,150050,0
6/22/2018,-70058,0,0,0,0,70082,150062,0
6/25/2018,0,0,0,160078,296402,0,100112,0
6/26/2018,-490306,0,0,30028,60062,0,300342,0
6/27/2018,150092,0,0,50022,150112,0,150528,0
6/28/2018,0,0,0,50028,350108,0,150124,0
6/29/2018,0,0,0,0,50070,50038,0,0
7/2/2018,-430188,0,0,50012,250260,70130,440256,0
7/3/2018,0,0,0,0,0,50042,50020,0
7/5/2018,0,0,0,60052,200072,0,100472,0
7/6/2018,-380252,-50018,0,30022,259464,0,99998,0
7/9/2018,50090,0,0,180090,100086,0,150132,0
7/10/2018,-31416,0,0,50028,0,0,30016,0
7/11/2018,-40084,0,0,0,250216,0,0,0
7/12/2018,-130022,100048,0,0,0,0,150026,0
7/13/2018,-70008,80080,0,150064,50068,120156,0,0
7/16/2018,-49994,200410,0,50038,210060,0,80016,0
7/17/2018,-430088,130166,0,110040,280256,0,100052,0
7/18/2018,0,0,0,0,100136,0,50000,0
7/19/2018,0,0,0,150066,160098,0,0,0
7/20/2018,-100076,99998,0,0,130064,70064,0,0
7/23/2018,450280,0,0,0,150046,50100,100020,0
7/24/2018,0,0,0,100060,100016,0,80046,0
7/25/2018,-200072,0,0,0,100024,50032,0,0
7/26/2018,-190072,50104,0,30038,330300,0,50040,0
7/27/2018,0,0,0,0,49942,0,150060,0
7/30/2018,56,0,0,100064,60042,50036,0,0
7/31/2018,0,0,0,80060,0,0,0,0
8/1/2018,-190060,0,0,130088,400038,70056,249508,0
8/2/2018,-200112,0,0,0,100048,0,0,0
8/3/2018,0,0,0,50030,50060,0,-149484,0
8/6/2018,-550096,0,0,0,0,0,150052,0
8/7/2018,0,0,0,60034,140098,0,30058,0
8/8/2018,50052,0,0,100016,200074,0,0,0
8/9/2018,0,-50028,0,150062,250136,0,49988,0
8/10/2018,0,0,0,0,50016,0,50020,0
8/13/2018,-300006,0,0,100056,0,100150,-50026,0
8/14/2018,0,0,0,10000,-4976,0,0,0
8/15/2018,-150014,0,0,100008,250172,220114,150048,0
8/16/2018,0,0,0,0,50024,0,0,0
8/17/2018,0,0,0,130016,0,0,70022,0
8/20/2018,100076,0,0,0,200120,0,200084,0
